time,muscle,hip_moment_arm,knee_moment_arm,ankle_moment_arm
0.0,iliacus,0.065,0.0,0.0
0.0,glut_max,-0.05,0.0,0.0
0.0,glut_med,-0.05,0.0,0.0
0.0,add_long,0.0,0.0,0.0
0.0,biceps_fem_lh,0.0,0.0,0.0
0.0,biceps_fem_sh,0.0,0.0,0.0
0.0,semitend,0.0,0.0,0.0
0.0,semimem,0.0,0.0,0.0
0.0,rectus_fem,0.02,0.045,0.0
0.0,vast_lat,0.0,0.045,0.0
0.0,vast_med,0.0,0.045,0.0
0.0,vast_int,0.0,0.045,0.0
0.0,gastroc_med,0.0,-0.02,0.05
0.0,gastroc_lat,0.0,-0.02,0.05
0.0,soleus,0.0,0.0,0.05
0.0,tib_ant,0.0,0.0,0.0
0.0,tib_post,0.0,0.0,0.0
0.0,peron_brev,0.0,0.0,0.0
0.006711409395973154,iliacus,0.065,0.0,0.0
0.006711409395973154,glut_max,-0.05,0.0,0.0
0.006711409395973154,glut_med,-0.05,0.0,0.0
0.006711409395973154,add_long,0.0,0.0,0.0
0.006711409395973154,biceps_fem_lh,0.0,0.0,0.0
0.006711409395973154,biceps_fem_sh,0.0,0.0,0.0
0.006711409395973154,semitend,0.0,0.0,0.0
0.006711409395973154,semimem,0.0,0.0,0.0
0.006711409395973154,rectus_fem,0.02,0.045,0.0
0.006711409395973154,vast_lat,0.0,0.045,0.0
0.006711409395973154,vast_med,0.0,0.045,0.0
0.006711409395973154,vast_int,0.0,0.045,0.0
0.006711409395973154,gastroc_med,0.0,-0.02,0.05
0.006711409395973154,gastroc_lat,0.0,-0.02,0.05
0.006711409395973154,soleus,0.0,0.0,0.05
0.006711409395973154,tib_ant,0.0,0.0,0.0
0.006711409395973154,tib_post,0.0,0.0,0.0
0.006711409395973154,peron_brev,0.0,0.0,0.0
0.013422818791946308,iliacus,0.065,0.0,0.0
0.013422818791946308,glut_max,-0.05,0.0,0.0
0.013422818791946308,glut_med,-0.05,0.0,0.0
0.013422818791946308,add_long,0.0,0.0,0.0
0.013422818791946308,biceps_fem_lh,0.0,0.0,0.0
0.013422818791946308,biceps_fem_sh,0.0,0.0,0.0
0.013422818791946308,semitend,0.0,0.0,0.0
0.013422818791946308,semimem,0.0,0.0,0.0
0.013422818791946308,rectus_fem,0.02,0.045,0.0
0.013422818791946308,vast_lat,0.0,0.045,0.0
0.013422818791946308,vast_med,0.0,0.045,0.0
0.013422818791946308,vast_int,0.0,0.045,0.0
0.013422818791946308,gastroc_med,0.0,-0.02,0.05
0.013422818791946308,gastroc_lat,0.0,-0.02,0.05
0.013422818791946308,soleus,0.0,0.0,0.05
0.013422818791946308,tib_ant,0.0,0.0,0.0
0.013422818791946308,tib_post,0.0,0.0,0.0
0.013422818791946308,peron_brev,0.0,0.0,0.0
0.020134228187919462,iliacus,0.065,0.0,0.0
0.020134228187919462,glut_max,-0.05,0.0,0.0
0.020134228187919462,glut_med,-0.05,0.0,0.0
0.020134228187919462,add_long,0.0,0.0,0.0
0.020134228187919462,biceps_fem_lh,0.0,0.0,0.0
0.020134228187919462,biceps_fem_sh,0.0,0.0,0.0
0.020134228187919462,semitend,0.0,0.0,0.0
0.020134228187919462,semimem,0.0,0.0,0.0
0.020134228187919462,rectus_fem,0.02,0.045,0.0
0.020134228187919462,vast_lat,0.0,0.045,0.0
0.020134228187919462,vast_med,0.0,0.045,0.0
0.020134228187919462,vast_int,0.0,0.045,0.0
0.020134228187919462,gastroc_med,0.0,-0.02,0.05
0.020134228187919462,gastroc_lat,0.0,-0.02,0.05
0.020134228187919462,soleus,0.0,0.0,0.05
0.020134228187919462,tib_ant,0.0,0.0,0.0
0.020134228187919462,tib_post,0.0,0.0,0.0
0.020134228187919462,peron_brev,0.0,0.0,0.0
0.026845637583892617,iliacus,0.065,0.0,0.0
0.026845637583892617,glut_max,-0.05,0.0,0.0
0.026845637583892617,glut_med,-0.05,0.0,0.0
0.026845637583892617,add_long,0.0,0.0,0.0
0.026845637583892617,biceps_fem_lh,0.0,0.0,0.0
0.026845637583892617,biceps_fem_sh,0.0,0.0,0.0
0.026845637583892617,semitend,0.0,0.0,0.0
0.026845637583892617,semimem,0.0,0.0,0.0
0.026845637583892617,rectus_fem,0.02,0.045,0.0
0.026845637583892617,vast_lat,0.0,0.045,0.0
0.026845637583892617,vast_med,0.0,0.045,0.0
0.026845637583892617,vast_int,0.0,0.045,0.0
0.026845637583892617,gastroc_med,0.0,-0.02,0.05
0.026845637583892617,gastroc_lat,0.0,-0.02,0.05
0.026845637583892617,soleus,0.0,0.0,0.05
0.026845637583892617,tib_ant,0.0,0.0,0.0
0.026845637583892617,tib_post,0.0,0.0,0.0
0.026845637583892617,peron_brev,0.0,0.0,0.0
0.03355704697986577,iliacus,0.065,0.0,0.0
0.03355704697986577,glut_max,-0.05,0.0,0.0
0.03355704697986577,glut_med,-0.05,0.0,0.0
0.03355704697986577,add_long,0.0,0.0,0.0
0.03355704697986577,biceps_fem_lh,0.0,0.0,0.0
0.03355704697986577,biceps_fem_sh,0.0,0.0,0.0
0.03355704697986577,semitend,0.0,0.0,0.0
0.03355704697986577,semimem,0.0,0.0,0.0
0.03355704697986577,rectus_fem,0.02,0.045,0.0
0.03355704697986577,vast_lat,0.0,0.045,0.0
0.03355704697986577,vast_med,0.0,0.045,0.0
0.03355704697986577,vast_int,0.0,0.045,0.0
0.03355704697986577,gastroc_med,0.0,-0.02,0.05
0.03355704697986577,gastroc_lat,0.0,-0.02,0.05
0.03355704697986577,soleus,0.0,0.0,0.05
0.03355704697986577,tib_ant,0.0,0.0,0.0
0.03355704697986577,tib_post,0.0,0.0,0.0
0.03355704697986577,peron_brev,0.0,0.0,0.0
0.040268456375838924,iliacus,0.065,0.0,0.0
0.040268456375838924,glut_max,-0.05,0.0,0.0
0.040268456375838924,glut_med,-0.05,0.0,0.0
0.040268456375838924,add_long,0.0,0.0,0.0
0.040268456375838924,biceps_fem_lh,0.0,0.0,0.0
0.040268456375838924,biceps_fem_sh,0.0,0.0,0.0
0.040268456375838924,semitend,0.0,0.0,0.0
0.040268456375838924,semimem,0.0,0.0,0.0
0.040268456375838924,rectus_fem,0.02,0.045,0.0
0.040268456375838924,vast_lat,0.0,0.045,0.0
0.040268456375838924,vast_med,0.0,0.045,0.0
0.040268456375838924,vast_int,0.0,0.045,0.0
0.040268456375838924,gastroc_med,0.0,-0.02,0.05
0.040268456375838924,gastroc_lat,0.0,-0.02,0.05
0.040268456375838924,soleus,0.0,0.0,0.05
0.040268456375838924,tib_ant,0.0,0.0,0.0
0.040268456375838924,tib_post,0.0,0.0,0.0
0.040268456375838924,peron_brev,0.0,0.0,0.0
0.04697986577181208,iliacus,0.065,0.0,0.0
0.04697986577181208,glut_max,-0.05,0.0,0.0
0.04697986577181208,glut_med,-0.05,0.0,0.0
